section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1,1726564011084656664,1726564011219784664,135,833.873,364.053,0.6483827762150437,16.03076752974245
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,2,1726564011264921664,1726564011395043664,130,956.965,365.487,8.806249128604968,15.871740008507796
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,3,1726564011415037664,1726564011915425664,500,988.262,368.884,10.87034435414723,15.619088149428313
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,4,1726564012010548664,1726564012160675664,150,829.21,849.211,0.33825651970134124,-15.308554674701087
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,5,1726564012190676664,1726564012440930664,250,825.666,897.58,0.1056875059447895,-18.421914787993792
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,6,1726564012476056664,1726564012731186664,255,874.426,898.247,3.3676056785289403,-18.454391812667605
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,7,1726564012846313664,1726564013106567664,260,922.63,362.213,6.536352324141602,16.112346885513766
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,8,1726564013141568664,1726564013536950664,395,986.842,369.45,10.775228494801363,15.584611082417979
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,9,1726564013587076664,1726564013792205664,205,842.387,382.271,1.208482285707208,14.857452102625196
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,10,1726564013832205664,1726564013977333664,145,865.168,451.366,2.6840009134020884,10.400656864498998
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,11,1726564014017459664,1726564014342714664,325,745.684,450.077,-5.126964348435189,10.470808642887526
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,12,1726564014382715664,1726564014527968664,145,830.162,449.841,0.3953917202654055,10.503009441236046
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,13,1726564014567968664,1726564015053352664,485,713.349,472.079,-7.219924046941273,9.038548990541665
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,14,1726564015108478664,1726564015303607664,195,841.09,384.043,1.1223928739265305,14.743511395332236
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,15,1726564015348607664,1726564015538868664,190,828.648,319.381,0.3057850927587588,18.9035007036281
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,16,1726564015583865664,1726564015809115664,225,962.866,331.224,9.266683777434352,18.059747237290434
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,17,1726564015854116664,1726564016104371664,250,915.059,392.471,5.9990965855269325,14.173702883182878
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,18,1726564016164372664,1726564016459753664,295,854.064,505.02,1.9466133747180523,6.937964738460935
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,19,1726564016494753664,1726564016800008664,305,923.796,504.875,6.478775112753113,6.931973548532662
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,20,1726564016840009664,1726564017090263664,250,855.07,538.077,2.007213097749577,4.800884934704721
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,21,1726564017125264664,1726564017430644664,305,804.953,513.851,-1.2454992291377822,6.36776331896458
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,22,1726564017490645664,1726564017800901664,310,900.624,448.122,5.00376971456597,10.599198981508895
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,23,1726564017841027664,1726564018071160664,230,839.265,424.759,0.9944309608209261,12.120419770376461
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,24,1726564018111281664,1726564018311410664,200,791.79,378.608,-2.1367095669430536,15.089772356625728
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,25,1726564018361411664,1726564018791806664,430,924.354,342.725,6.67886850212799,17.361716213357706
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,26,1726564018836919664,1726564019097180664,260,825.478,357.892,0.0918252713984836,16.42737183783854
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,27,1726564019132175664,1726564019397429664,265,769.538,364.678,-3.6174263457994633,15.978073450833156
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,28,1726564019432434664,1726564019862812664,430,833.527,374.299,0.6240112911118644,15.371396734452881
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,29,1726564019907938664,1726564020098067664,190,923.404,373.198,6.573042079427754,15.406388026056657
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,30,1726564020133067664,1726564020453448664,320,977.755,391.22,10.132281217430254,14.201335480109405
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,31,1726564020543450664,1726564021068970664,526,881.238,537.433,3.7045405127562643,4.839818463186198
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,32,1726564021108960664,1726564021394340664,285,816.849,520.23,-0.47246410494953256,5.955981125852752
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,33,1726564021429340664,1726564021799724664,370,754.155,517.229,-4.543344256579469,6.142060712500356
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,34,1726564021844723664,1726564022159978664,315,854.059,520.977,1.9438279495987454,5.906629562227203
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,35,1726564022500359664,1726564022620361664,120,1268.633,969.616,30.29835166897588,-22.071461415893136
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,36,1726564022650487664,1726564022845616664,195,1319.333,990.399,34.01449133279074,-23.124173053099742
